#Lmmi lambda pol E_p0_m0 E_p1_m0 E_p2_m0 E_p3_m0 Esum_m0 E_p0_m1 E_p1_m1 E_p2_m1 E_p3_m1 Esum_m1 E_p0_m2 E_p1_m2 E_p2_m2 E_p3_m2 Esum_m2 E_p0_m0dB E_p1_m0dB E_p2_m0dB E_p3_m0dB Esum_m0dB E_p0_m1dB E_p1_m1dB E_p2_m1dB E_p3_m1dB Esum_m1dB E_p0_m2dB E_p1_m2dB E_p2_m2dB E_p3_m2dB Esum_m2dB phase_p0_m0 phase_p1_m0 phase_p2_m0 phase_p3_m0 dphase_p0-p0_m0 dphase_p1-p0_m0 dphase_p2-p0_m0 dphase_p3-p0_m0 
433 1.5 0 0.20291662 0.23821753 0.17233237 0.20872089 0.8221874 0.0034715024 0.02909823 0.068162705 0.041018767 0.1417512 0 0 0 0 0 -6.9268239 -6.2302628 -7.6363314 -6.8043409 -0.85029181 -24.594825 -15.361334 -11.664532 -13.870174 -8.4847324 -100 -100 -100 -100 -100 37.597046 179.03135 -2.6836752 49.386645 0 141.4343 319.71928 11.789599 
433 1.51 0 0.2137976 0.23791957 0.19037172 0.21842515 0.86051405 0.0023227468 0.033673128 0.05694519 0.037987384 0.13092845 0 0 0 0 0 -6.6999717 -6.2356983 -7.2039757 -6.6069735 -0.65242036 -26.339981 -14.727165 -12.44543 -14.203606 -8.8296597 -100 -100 -100 -100 -100 -44.607706 95.299851 -86.160876 -36.307349 0 139.90756 318.44683 8.3003568 
433 1.52 0 0.22524052 0.23822346 0.20818513 0.2289143 0.9005634 0.01719096 0.052350929 0.064489443 0.053983945 0.18801528 0 0 0 0 0 -6.4735348 -6.2301547 -6.815503 -6.4032708 -0.45485706 -17.646999 -12.810756 -11.905114 -12.677354 -7.2580686 -100 -100 -100 -100 -100 -131.76959 6.7786258 -174.47638 -126.48355 0 138.54822 317.29321 5.2860372 
433 1.53 0 0.23564876 0.23837517 0.22440386 0.2391498 0.93757759 0 0 0 0 0 0 0 0 0 0 -6.2773483 -6.2273899 -6.4896968 -6.2132997 -0.27992782 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 136.27354 -86.510107 92.590461 138.97501 0 137.21635 316.31692 2.70147 
433 1.54 0 0.24314247 0.23865875 0.23620286 0.24680269 0.96480677 0 0 0 0 0 0 0 0 0 0 -6.1413917 -6.2222264 -6.2671485 -6.0765011 -0.15559656 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 39.518568 175.58877 -4.9873694 40.229847 0 136.0702 315.49406 0.71127892 
433 1.55 0 0.24687711 0.23752332 0.2424092 0.24879928 0.97560891 0 0 0 0 0 0 0 0 0 0 -6.0751917 -6.2429375 -6.154509 -6.0415088 -0.1072424 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -62.161553 73.238103 -107.38318 -62.789595 0 135.39966 314.77837 359.37196 
433 1.56 0 0.24783981 0.23417361 0.24333234 0.2439198 0.96926557 0 0 0 0 0 0 0 0 0 0 -6.0582893 -6.3046204 -6.1380016 -6.1275294 -0.13557212 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -168.89234 -33.591865 145.26863 -170.29663 0 135.30048 314.16097 358.59571 
433 1.57 0 0.24780462 0.22853357 0.24044689 0.23311464 0.94989972 0 0 0 0 0 0 0 0 0 0 -6.0589061 -6.4104999 -6.1898083 -6.3243045 -0.2232224 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 79.363246 -144.96741 32.947404 77.489639 0 135.66935 313.58416 358.12639 
433 1.58 0 0.2484092 0.22213599 0.23482577 0.21815811 0.92352908 0 0 0 0 0 0 0 0 0 0 -6.0483232 -6.5338106 -6.2925425 -6.6122864 -0.34549426 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -37.264639 99.061875 -84.2457 -39.420967 0 136.32651 313.01894 357.84367 
433 1.59 0 0.25067961 0.216558 0.22735349 0.20014211 0.89473321 0 0 0 0 0 0 0 0 0 0 -6.0088099 -6.6442578 -6.4329837 -6.9866152 -0.48306445 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -158.4974 -21.33427 153.68908 -161.09107 0 137.16313 312.18648 357.40633 
433 1.6 0 0.25466809 0.21209565 0.21950468 0.18070868 0.86697709 0 0 0 0 0 0 0 0 0 0 -5.9402548 -6.7346823 -6.5855622 -7.4302099 -0.61992377 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 75.870489 -145.90137 26.769136 72.399917 0 138.22814 310.89865 356.52943 
